timestamp,type,price,executionId
1.649088058773e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058813e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058833e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058853e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058893e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058913e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058933e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058953e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088058973e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088059013e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088059033e+18,READ,3.05e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088059053e+18,WRITE,0.0001525,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088059092e+24,INVOCATION,2e-05,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088059092e+24,TIME,0.00023016000000000003,01f279e9-5081-48fd-b40d-2ad37b38ab61
1.649088059133e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059195e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059239e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059257e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059273e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059292e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059313e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059353e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059393e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059413e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059453e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059493e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059533e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059573e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059652e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059692e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059712e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059733e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059753e+18,READ,3.05e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059773e+18,WRITE,0.0001525,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059792e+24,INVOCATION,2e-05,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059792e+24,TIME,0.00029232,e7eb1615-80fa-4336-b594-031c0a078cc2
1.649088059813e+18,READ,3.05e-05,eff6a259-d738-45ee-9e91-cedc20ef3523
1.649088059833e+18,WRITE,0.0001525,eff6a259-d738-45ee-9e91-cedc20ef3523
