exp_id,results_dir,dummy,config_id,benchmark,source,engine,kafkas,cloud,vmtype,instances,max_resources,load,resources,cluster_fee,vm_cost,fs_write_cost,fs_read_cost,pubsub_cost,total_cost
8893,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,9,31.0,700,30,0.1,1.554012,2.9484,0.0,0.03000392,4.632415920000001
8894,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,10,35.0,800,34,0.1,1.72668,3.3695999999999997,0.0,0.03000448,5.2262844799999995
8895,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,11,39.0,900,38,0.1,1.8993479999999998,3.7907999999999995,0.0,0.03000504,5.820153039999999
8896,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,12,43.0,1000,42,0.1,2.0720159999999996,4.212,0.0,0.0300056,6.414021599999999
8897,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,13,47.0,1100,46,0.1,2.244684,4.6331999999999995,0.0,0.03000616,7.00789016
8898,results-gcp,True,11,uc1,http,samza,3,gcp,e2-standard-4,14,51.0,1200,50,0.1,2.4173519999999997,5.054399999999999,0.0,0.03000672,7.601758719999999
9,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,2,3.0,0,1,0.1,0.5408473,0.0,0.0,0.0,0.6408472999999999
9,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,2,3.0,100,1,0.1,0.5408473,0.42119999999999996,0.0,0.03000056,1.0920478599999999
9,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,2,3.0,200,2,0.1,0.6044894,0.8423999999999999,0.0,0.03000112,1.57689052
9,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,2,3.0,300,2,0.1,0.6044894,1.2635999999999998,0.0,0.03000168,1.9980910799999998
9,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,2,3.0,400,3,0.1,0.6681315,1.6847999999999999,0.0,0.03000224,2.48293374
14,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,3,6.0,500,4,0.1,0.7317735999999999,2.106,0.0,0.0300028,2.9677764
14,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,3,6.0,600,4,0.1,0.7317735999999999,2.5271999999999997,0.0,0.03000336,3.3889769599999995
14,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,3,6.0,700,4,0.1,0.7317735999999999,2.9484,0.0,0.03000392,3.81017752
14,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,3,6.0,800,4,0.1,0.7317735999999999,3.3695999999999997,0.0,0.03000448,4.231378079999999
16,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,4,,900,7,0.1,0.9226999,3.7907999999999995,0.0,0.03000504,4.84350494
16,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,4,,1000,8,0.1,0.9863419999999999,4.212,0.0,0.0300056,5.3283476
16,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,4,,1100,8,0.1,0.9863419999999999,4.6331999999999995,0.0,0.03000616,5.74954816
16,results-gcp2,False,103,uc1,http,flink,3,gcp-autopilot,e2-standard-4,4,,1200,8,0.1,0.9863419999999999,5.054399999999999,0.0,0.03000672,6.17074872
5,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,2,2.0,0,1,0.1,0.345336,0.0,0.0,0.0,0.44533599999999995
5,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,2,2.0,100,1,0.1,0.345336,0.0,0.0,0.03000056,0.47533655999999996
5,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,2,2.0,200,2,0.1,0.345336,0.0,0.0,0.03000112,0.47533711999999995
5,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,2,2.0,300,2,0.1,0.345336,0.0,0.0,0.03000168,0.47533767999999993
6,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,3,5.0,400,3,0.1,0.5180039999999999,0.0,0.0,0.03000224,0.6480062399999998
6,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,3,5.0,500,4,0.1,0.5180039999999999,0.0,0.0,0.0300028,0.6480067999999999
6,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,3,5.0,600,4,0.1,0.5180039999999999,0.0,0.0,0.03000336,0.6480073599999999
6,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,3,5.0,700,5,0.1,0.5180039999999999,0.0,0.0,0.03000392,0.6480079199999998
7,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,4,,800,6,0.1,0.690672,0.0,0.0,0.03000448,0.8206764799999999
7,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,4,,900,6,0.1,0.690672,0.0,0.0,0.03000504,0.82067704
7,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,4,,1000,7,0.1,0.690672,0.0,0.0,0.0300056,0.8206775999999999
7,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,4,,1100,8,0.1,0.690672,0.0,0.0,0.03000616,0.8206781599999999
7,results-gcp2,False,1,uc3,http,flink,3,gcp,e2-standard-4,4,,1200,8,0.1,0.690672,0.0,0.0,0.03000672,0.82067872
42,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,2,4.0,0,1,0.1,0.345336,0.0,0.0,0.0,0.44533599999999995
42,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,2,4.0,100,1,0.1,0.345336,0.0,0.0,0.013096723705530167,0.4584327237055301
42,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,2,4.0,200,2,0.1,0.345336,0.0,0.0,0.026193447411060333,0.4715294474110603
42,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,2,4.0,300,2,0.1,0.345336,0.0,0.0,0.0392901711165905,0.48462617111659045
42,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,2,4.0,400,3,0.1,0.345336,0.0,0.0,0.052386894822120667,0.4977228948221206
42,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,2,4.0,500,3,0.1,0.345336,0.0,0.0,0.06548361852765083,0.5108196185276508
42,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,2,4.0,600,4,0.1,0.345336,0.0,0.0,0.078580342233181,0.523916342233181
46,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,3,7.0,700,6,0.1,0.5180039999999999,0.0,0.0,0.09167706593871117,0.709681065938711
46,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,3,7.0,800,6,0.1,0.5180039999999999,0.0,0.0,0.10477378964424133,0.7227777896442412
46,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,3,7.0,900,7,0.1,0.5180039999999999,0.0,0.0,0.1178705133497715,0.7358745133497714
46,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,3,7.0,1000,7,0.1,0.5180039999999999,0.0,0.0,0.13096723705530167,0.7489712370553016
48,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,4,,1100,9,0.1,0.690672,0.0,0.0,0.14406396076083183,0.9347359607608318
48,results-gcp2,False,5,uc3,pubsub,flink,0,gcp,e2-standard-4,4,,1200,9,0.1,0.690672,0.0,0.0,0.157160684466362,0.9478326844663619
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,0,1,0.0,0.172668,0.0,0.0,0.0,0.172668
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,100,1,0.0,0.172668,0.0,0.0,0.013096723705530167,0.18576472370553015
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,200,1,0.0,0.172668,0.0,0.0,0.026193447411060333,0.19886144741106032
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,300,1,0.0,0.172668,0.0,0.0,0.0392901711165905,0.2119581711165905
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,400,1,0.0,0.172668,0.0,0.0,0.052386894822120667,0.22505489482212065
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,500,1,0.0,0.172668,0.0,0.0,0.06548361852765083,0.23815161852765082
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,600,1,0.0,0.172668,0.0,0.0,0.078580342233181,0.251248342233181
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,700,1,0.0,0.172668,0.0,0.0,0.09167706593871117,0.26434506593871115
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,800,1,0.0,0.172668,0.0,0.0,0.10477378964424133,0.2774417896442413
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,900,1,0.0,0.172668,0.0,0.0,0.1178705133497715,0.2905385133497715
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,1000,1,0.0,0.172668,0.0,0.0,0.13096723705530167,0.30363523705530165
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,1100,1,0.0,0.172668,0.0,0.0,0.14406396076083183,0.3167319607608318
50,results-gcp2,False,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,,1200,1,0.0,0.172668,0.0,0.0,0.157160684466362,0.329828684466362
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,0,1,0.1,0.46,0.0,0.0,0.0,0.56
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,100,1,0.1,0.46,0.0,0.0,0.030000448,0.5900004480000001
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,200,1,0.1,0.46,0.0,0.0,0.030000896,0.590000896
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,300,2,0.1,0.46,0.0,0.0,0.030001344,0.590001344
1,results-aws,False,8,uc3,http,flink,3,aws,m5.xlarge,2,4.0,400,2,0.1,0.46,0.0,0.0,0.030001792,0.590001792
